entidad_federativa,CVE_MUN,municipio,sexo,grupos_edad,poblacion,lengua_indigena,nolengua_indigena
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,05-09 años,2054,1,2049
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,10-14 años,2262,5,2252
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,15-19 años,2114,8,2102
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,20-24 años,1986,4,1976
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,25-29 años,1801,9,1787
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,30-34 años,1788,13,1772
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,35-39 años,1797,4,1792
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,40-44 años,1595,13,1581
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,45-49 años,1376,18,1357
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,50-54 años,1179,13,1163
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,55-59 años,901,12,888
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,60-64 años,759,16,742
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,65 años y más,1684,47,1634
30 Veracruz de Ignacio de la Llave,160,160 Álamo Temapache,Total,03-04 años,3754,30,3656
